asi_slno,raw_text,page
62,Vigneswara swami temple Chilamakuru Kadapa YSR,6
63,Agatheswarswami Temple Chilamkuru Kadapa YSR,6
64,Remains of the buried Jain temple Danavulapadu Kadapa YSR,6
65,"Fort with enclosed ancient buildings, Gandikota Kadapa YSR Madhavaperumal temple and tower known as Madarsala",6
66,Saumyanatha temple Nandalur Kadapa YSR,6
67,Ancient Village site Peddamudiyan Kadapa YSR,6
68,Kothandaramaswami Temple Peddamudiyan Kadapa YSR,6
69,Mukunteswara temple with inscriptions Peddamudiyan Kadapa YSR,6
70,Narasimha temple Peddamudiyan Kadapa YSR,6
71,Old Vishnu temple with inscriptions Peddamudiyan Kadapa YSR,6
72,Athirala Parasurama temple Poli Kadapa YSR,6
73,Bheemeshwara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),6
74,Indranadheshwara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),6
75,Kamalasamveswara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),6
76,Raghaveswara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),6
77,Sivakesavaswami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),6
78,Trikoteswara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),6
79,Vaidhyanadha swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),6
80,Fort with ancient buildings therein Siddhout Kadapa YSR,6
81,Visvanatha swami temple Sivalpalli Kadapa YSR,6
82,Sri Kodandarma swamy temple and Vontimitta Kadapa YSR adjoining buildings,6
83,Ancient site with the mound marking the Alluru Krishna Buddhist Stupas in it,6
84,Buddhist remains in a mound Ghantasala Krishna,6
85,Mound containing Buddhist remains and Gudivada Krishna ancient village site.,6
86,"Sculptures, carvings, images other like Gudur Krishna objects found in the vicinity of the old Mosque",6
87,Hillock containing the mound marking the Gummadiduru Krishna ancient remains of ancient Buddhist stupas situated on it,6
88,Buddhist remains of a Stupa on the hill Jaggayyapeta Krishna,6
89,Bandar Fort: (i) Armoury known as Fort Masulipathnam Krishna and customs office (ii) Belfry,6
90,Dutch cemetry (D.No. 308) Masulipathnam Krishna,6
91,Rock-cut cave temples on the Hill Mogalrajapuram Krishna 6 Sl.No. Name of the Monument / Site Locality District,6
92,Ancient site and remains comprised in Munagacherla Krishna survey plot No. 37,7
93,Four pillars in the ruined mandapam in Vijayawada Krishna Jammidoddi,7
94,Inscribed Pillar and slab in Vijayawada Krishna Mallesvarasvami temple,7
95,Kiratharjuna Pillar on the Indrakilla Hill Vijayawada Krishna,7
96,Two rock-cut cave temples on the Vijayawada Krishna Indrakila hill known as Akkanna Muddanna caves,7
97,Ruined fort and buildings therein except Adoni Kurnool Ramazan masjid,7
98,Inscribed boulder bearing Andhra records Chinnakadaburu Kurnool of 150 A.D.,7
99,A prominent granite hillock bearing Jonnagiri Kurnool Asokan inscription,7
100,"Gateways and the bastions of the old fort, Kurnool Kurnool viz. (i) Bastion No.1 Beach Ghantki Buruzu (ii) Bastion No. 2 Lal Bangalow Buruzu (iii) Gateway to Gopala Darwaja (iv) Gateway to Panikiddi",7
101,Mausoleum known as Abdul Wahab Kurnool Kurnool Khan's Tomb and adjoining buildings,7
102,Nandavaram Temple including the Nandavaram Kurnool sculpture of Subrahamanya,7
103,"The Asokan inscription, Two early Rajulamandagiri(H Kurnool Chalukya inscriptions and One late amlet of Jutur) Chalukya inscriptions.",7
104,Inscribed stone lying to the east of Siva Rayachoti Kurnool temple,7
105,Old Cave Temple Yaganti Kurnool,7
106,Uma-Mahesvaraswami Temple Yaganti Kurnool,7
107,Ancient Mounds Kanuparti Prakasam,7
108,A group of eight rock-cut temples in Kottapalli Prakasam Bhairavakonda hill,7
109,Chola Temple Motupalle Prakasam,7
110,Ancient Mound Pedaganjam Prakasam,7
111,Pitikeswara group of temples including Pittikayagulla Prakasam Approach road,7
112,Ancient Site Pusalapadu Prakasam,7
113,Ramalingeswara group of temples Satiavolu Prakasam,7
114,Mound known as 'Bodipati Dibba' Ramatirtham SPSR- Nellore (Hamlet of Varini),7
115,Ancient Mound in part of S.No. 855 A Ramatirtham SPSR- Nellore,7
116,Hill Fort with Ancient buildings therein Udayagiri SPSR- Nellore,7
117,"Krishna Temple in a part of Donka with Udayagiri SPSR- Nellore Gopuram, Kalyanamandapam and Masonry built Tank 7 Sl.No. Name of the Monument / Site Locality District",7
118,Ranganayakula Temple Udayagiri SPSR- Nellore,8
119,Ancient Mound Kalingapatnam Srikakulam,8
120,Sri Somesvara temple Mukhalingam Srikakulam,8
