monument_id,asi_slno,name,locality,district,state,circle,page,raw_text
ASI-00044,44,Bhimeswara temple Samalkot,East Godavari (Bhimavaram),,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,"Bhimeswara temple Samalkot, East Godavari (Bhimavaram)"
ASI-00045,45,Ruined Buddhist stupa and other remains Amaravati Guntur,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Ruined Buddhist stupa and other remains Amaravati Guntur
ASI-00046,46,An Ancient Siva temple with inscription Ayyangaripalam Guntur (Hamlet of Pondugula),,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,An Ancient Siva temple with inscription Ayyangaripalam Guntur (Hamlet of Pondugula)
ASI-00047,47,Sri Bhavanarayanaswami temple Bapatla Guntur,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Sri Bhavanarayanaswami temple Bapatla Guntur
ASI-00048,48,Ruined Buddhist stupa Bhattiprolu Guntur,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Ruined Buddhist stupa Bhattiprolu Guntur
ASI-00049,49,The Sculptures,carvings,images,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,"The Sculptures, carvings, images, bas Buddam Guntur reliefor other like objects discovered within the revenue limit"
ASI-00050,50,Kapoteswara temple with five inscriptional Chejerla Guntur slabs within the temple site,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Kapoteswara temple with five inscriptional Chejerla Guntur slabs within the temple site
ASI-00051,51,Inscribed rock to the west of Dharanikota Dharanikota Guntur,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Inscribed rock to the west of Dharanikota Dharanikota Guntur
ASI-00052,52,Fort in ruins Dharanikota Guntur,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Fort in ruins Dharanikota Guntur
ASI-00053,53,The Mounds with ancient remains on them Grandhasiri Guntur (Hamlet of Vornakallu),,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,The Mounds with ancient remains on them Grandhasiri Guntur (Hamlet of Vornakallu)
ASI-00054,54,Inscribed marble pillar near the Gopala Ipur Guntur temple,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Inscribed marble pillar near the Gopala Ipur Guntur temple
ASI-00055,55,Ancient Buddhist remains with Brahmi Manchikallu Guntur inscriptions on the mound,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Ancient Buddhist remains with Brahmi Manchikallu Guntur inscriptions on the mound
